name,score
Intel Core i3-4005U @ 1.70GHz,1650
Intel Core i3-4010U @ 1.70GHz,1664
Intel Core i3-4010Y @ 1.30GHz,1358
Intel Core i3-4012Y @ 1.50GHz,1276
Intel Core i3-4020Y @ 1.50GHz,1453
Intel Core i3-4025U @ 1.90GHz,1954
Intel Core i3-4030U @ 1.90GHz,1869
Intel Core i3-4030Y @ 1.60GHz,1654
Intel Core i3-4100E @ 2.40GHz,1848
Intel Core i3-4100M @ 2.50GHz,2521
Intel Core i3-4100U @ 1.80GHz,1926
Intel Core i3-4110M @ 2.60GHz,2678
Intel Core i3-4110U @ 1.90GHz,1860
Intel Core i3-4120U @ 2.00GHz,1504
Intel Core i3-4130 @ 3.40GHz,3335
Intel Core i3-4130T @ 2.90GHz,2873
Intel Core i3-4150 @ 3.50GHz,3401
Intel Core i3-4150T @ 3.00GHz,2886
Intel Core i3-4158U @ 2.00GHz,1874
Intel Core i3-4160 @ 3.60GHz,3501
Intel Core i3-4160T @ 3.10GHz,3093
Intel Core i3-4170 @ 3.70GHz,3579
Intel Core i3-4170T @ 3.20GHz,3144
Intel Core i3-4330 @ 3.50GHz,3482
Intel Core i3-4330T @ 3.00GHz,3105
Intel Core i3-4330TE @ 2.40GHz,2022
Intel Core i3-4340 @ 3.60GHz,3510
Intel Core i3-4350 @ 3.60GHz,3618
Intel Core i3-4350T @ 3.10GHz,3168
Intel Core i3-4360 @ 3.70GHz,3641
Intel Core i3-4360T @ 3.20GHz,3294
Intel Core i3-4370 @ 3.80GHz,3861
Intel Core i3-4370T @ 3.30GHz,3361
Intel Core i3-4570T @ 2.90GHz,3244
Intel Core i3-5005U @ 2.00GHz,2011
Intel Core i3-5010U @ 2.10GHz,2154
Intel Core i3-5015U @ 2.10GHz,2013
Intel Core i3-5020U @ 2.20GHz,2218
Intel Core i3-5157U @ 2.50GHz,2593
Intel Core i3-530 @ 2.93GHz,1519
Intel Core i3-540 @ 3.07GHz,1557
Intel Core i3-550 @ 3.20GHz,1634
Intel Core i3-560 @ 3.33GHz,1642
Intel Core i3-6006U @ 2.00GHz,2275
Intel Core i3-6098P @ 3.60GHz,3971
Intel Core i3-6100 @ 3.70GHz,4099
Intel Core i3-6100E @ 2.70GHz,3315
Intel Core i3-6100H @ 2.70GHz,3008
Intel Core i3-6100T @ 3.20GHz,3630
Intel Core i3-6100TE @ 2.70GHz,3109
Intel Core i3-6100U @ 2.30GHz,2627
Intel Core i3-6102E @ 1.90GHz,2349
Intel Core i3-6157U @ 2.40GHz,2789
Intel Core i3-6167U @ 2.70GHz,3128
Intel Core i3-6300 @ 3.80GHz,4351
Intel Core i3-6300T @ 3.30GHz,3985
Intel Core i3-6320 @ 3.90GHz,4416
Intel Core i3-7020U @ 2.30GHz,2569
Intel Core i3-7100 @ 3.90GHz,4314
Intel Core i3-7100H @ 3.00GHz,3450
Intel Core i3-7100T @ 3.40GHz,3754
Intel Core i3-7100U @ 2.40GHz,2720
Intel Core i3-7101E @ 3.90GHz,4430
Intel Core i3-7101TE @ 3.40GHz,3956
Intel Core i3-7102E @ 2.10GHz,2599
Intel Core i3-7130U @ 2.70GHz,3041
Intel Core i3-7167U @ 2.80GHz,3368
Intel Core i3-7300 @ 4.00GHz,4519
Intel Core i3-7300T @ 3.50GHz,4140
Intel Core i3-7320 @ 4.10GHz,4767
Intel Core i3-7350K @ 4.20GHz,4874
Intel Core i3-8100 @ 3.60GHz,6060
Intel Core i3-8100B @ 3.60GHz,5891
Intel Core i3-8100H @ 3.00GHz,4435
Intel Core i3-8100T @ 3.10GHz,5268
Intel Core i3-8109U @ 3.00GHz,4179
Intel Core i3-8121U @ 2.20GHz,4271
Intel Core i3-8130U @ 2.20GHz,3524
Intel Core i3-8140U @ 2.10GHz,3919
Intel Core i3-8145U @ 2.10GHz,3771
Intel Core i3-8145UE @ 2.20GHz,3928
Intel Core i3-8300 @ 3.70GHz,6368
Intel Core i3-8300T @ 3.20GHz,5457
Intel Core i3-8350K @ 4.00GHz,6926
Intel Core i3-9100 @ 3.60GHz,6606
Intel Core i3-9100E @ 3.10GHz,6529
Intel Core i3-9100F @ 3.60GHz,6703
Intel Core i3-9100HL @ 1.60GHz,3454
Intel Core i3-9100T @ 3.10GHz,5626
Intel Core i3-9100TE @ 2.20GHz,4589
Intel Core i3-9300 @ 3.70GHz,7075
Intel Core i3-9300T @ 3.20GHz,6323
Intel Core i3-9320 @ 3.70GHz,7358
Intel Core i3-9350K @ 4.00GHz,7596
Intel Core i3-9350KF @ 4.00GHz,7602
Intel Core i3-N300,8133
Intel Core i3-N305,9520
