name,brand,family,model,cores,threads,base_ghz,boost_ghz,process_nm,release_year
Intel Xeon E5-2622 V3,Intel,,Xeon E5-2622 V3,8,,,,,
Intel Xeon E5-2685 V3,Intel,,Xeon E5-2685 V3,12,,,3.3,,
AMD Opteron 6344,AMD,,Opteron 6344,12,,,3.2,,
AMD Athlon X4 845,AMD,,Athlon X4 845,4,,,3.8,,
AMD Athlon 5370,AMD,,Athlon 5370,4,,,,,
AMD Athlon X4 870K,AMD,,Athlon X4 870K,4,,,4.1,,
Intel Core i3-7300T,Intel,,Core i3-7300T,2,,,,,
Intel Core i5-7600T,Intel,,Core i5-7600T,4,,,3.7,,
Intel Xeon E3-1275 V6,Intel,,Xeon E3-1275 V6,4,,,4.2,,
AMD Athlon 240GE,AMD,,Athlon 240GE,2,,,,,
Intel Core i3-9320,Intel,,Core i3-9320,4,,,4.4,,
Intel Core i3-9350K,Intel,,Core i3-9350K,4,,,4.6,,
Intel Xeon E-2104G,Intel,,Xeon E-2104G,4,,,,,
Intel Celeron G5905T,Intel,,Celeron G5905T,2,,,,,
Intel Core i3-3240T,Intel,,Core i3-3240T,2,,,,,
AMD Phenom II X2 B59,AMD,,Phenom II X2 B59,2,,,,,
AMD Athlon II X2 215,AMD,,Athlon II X2 215,2,,,,,
AMD Athlon II X2 260,AMD,,Athlon II X2 260,2,,,,,
AMD Phenom II X2 550,AMD,,Phenom II X2 550,2,,,,,
AMD Athlon II X2 235e,AMD,,Athlon II X2 235e,2,,,,,
AMD Athlon II X2 240e,AMD,,Athlon II X2 240e,2,,,,,
AMD Phenom II X3 705e,AMD,,Phenom II X3 705e,3,,,,,
Intel Celeron E1200,Intel,,Celeron E1200,2,,,,,
Intel Celeron E1400,Intel,,Celeron E1400,2,,,,,
Intel Pentium E2180,Intel,,Pentium E2180,2,,,,,
Intel Pentium E2200,Intel,,Pentium E2200,2,,,,,
Intel Celeron E3300,Intel,,Celeron E3300,2,,,,,
Intel Pentium E6300,Intel,,Pentium E6300,2,,,,,
Intel Core 2 Duo E6420,Intel,,Core 2 Duo E6420,2,,,,,
Intel Core i5-655K,Intel,,Core i5-655K,2,,,,,
Intel Core i5-660,Intel,,Core i5-660,2,,,,,
Intel Core i5-670,Intel,,Core i5-670,2,,,,,
Intel Core 2 Extreme QX6800,Intel,,Core 2 Extreme QX6800,4,,,,,
Intel Core 2 Extreme X6800,Intel,,Core 2 Extreme X6800,2,,,,,
AMD Athlon II X3 450,AMD,,Athlon II X3 450,3,,,,,
AMD Athlon II X3 455,AMD,,Athlon II X3 455,3,,,,,
Intel Pentium E6800,Intel,,Pentium E6800,2,,,,,
AMD Phenom II X3 720 Black,AMD,,Phenom II X3 720 Black,3,,,,,
Intel Pentium G840,Intel,,Pentium G840,2,,,,,
AMD Phenom II X4 960T Black,AMD,,Phenom II X4 960T Black,4,,,,,
AMD A4-3400,AMD,,A4-3400,2,,,,,
Intel Xeon E3-1240,Intel,,Xeon E3-1240,4,,,,,
Intel Celeron G1620,Intel,,Celeron G1620,2,,,,,
Intel Xeon E5-1660,Intel,,Xeon E5-1660,6,,,3.9,,
Intel Xeon E5-2665,Intel,,Xeon E5-2665,8,,,3.1,,
Intel Xeon E5-2620 V2,Intel,,Xeon E5-2620 V2,6,,,2.6,,
Intel Pentium G3450,Intel,,Pentium G3450,2,,,,,
AMD Athlon II X4 651,AMD,,Athlon II X4 651,4,,,,,
Intel Xeon E5-2637 V2,Intel,,Xeon E5-2637 V2,4,,,3.8,,
AMD Pro A10-7850B,AMD,,Pro A10-7850B,4,,,4.0,,
AMD Athlon X4 840,AMD,,Athlon X4 840,4,,,3.8,,
Intel Pentium G3250T,Intel,,Pentium G3250T,2,,,,,
Intel Xeon E5-2650L V3,Intel,,Xeon E5-2650L V3,12,,,2.5,,
Intel Core i5-4670S,Intel,,Core i5-4670S,4,,,3.8,,
Intel Pentium G4520,Intel,,Pentium G4520,2,,,,,
Intel Pentium G4400T,Intel,,Pentium G4400T,2,,,,,
AMD Opteron 6328,AMD,,Opteron 6328,8,,,3.8,,
AMD Athlon X4 880K,AMD,,Athlon X4 880K,4,,,4.2,,
Intel Pentium G4620,Intel,,Pentium G4620,2,,,,,
Intel Xeon E5-2450V2,Intel,,Xeon E5-2450V2,8,,,3.3,,
Intel Xeon E5-2470V2,Intel,,Xeon E5-2470V2,10,,,3.2,,
Intel Xeon E3-1240 V6,Intel,,Xeon E3-1240 V6,4,,,4.1,,
Intel Xeon E3-1225 V6,Intel,,Xeon E3-1225 V6,4,,,3.7,,
Intel Core i5-3550S,Intel,,Core i5-3550S,4,,,3.7,,
AMD A6-7480,AMD,,A6-7480,2,,,3.8,,
Intel Xeon E-2144G,Intel,,Xeon E-2144G,4,,,4.5,,
Intel Xeon E-2126G,Intel,,Xeon E-2126G,6,,,4.5,,
Intel Xeon E-2124,Intel,,Xeon E-2124,4,,,4.3,,
Intel Pentium Gold G6500,Intel,,Pentium Gold G6500,2,,,,,
AMD Athlon II X2 245,AMD,,Athlon II X2 245,2,,,,,
AMD Phenom II X3 720,AMD,,Phenom II X3 720,3,,,,,
AMD Athlon II X4 605e,AMD,,Athlon II X4 605e,4,,,,,
AMD Phenom II X4 910e,AMD,,Phenom II X4 910e,4,,,,,
Intel Core 2 Duo E4500,Intel,,Core 2 Duo E4500,2,,,,,
Intel Core 2 Duo E6850,Intel,,Core 2 Duo E6850,2,,,,,
Intel Core 2 Duo E8300,Intel,,Core 2 Duo E8300,2,,,,,
Intel Core i5-661,Intel,,Core i5-661,2,,,,,
Intel Core 2 Quad Q9400S,Intel,,Core 2 Quad Q9400S,4,,,,,
AMD Phenom II X2 565 Black,AMD,,Phenom II X2 565 Black,2,,,,,
AMD Sempron 130,AMD,,Sempron 130,1,,,,,
Intel Pentium G620T,Intel,,Pentium G620T,2,,,,,
Intel Pentium G860,Intel,,Pentium G860,2,,,,,
AMD Athlon II X4 641,AMD,,Athlon II X4 641,4,,,,,
Intel Xeon E3-1220,Intel,,Xeon E3-1220,4,,,,,
Intel Xeon E3-1230,Intel,,Xeon E3-1230,4,,,,,
Intel Xeon E3-1235,Intel,,Xeon E3-1235,4,,,,,
Intel Xeon E3-1280,Intel,,Xeon E3-1280,4,,,,,
Intel Core i5-3340S,Intel,,Core i5-3340S,4,,,3.3,,
Intel Xeon E5-2603,Intel,,Xeon E5-2603,4,,,,,
AMD A6-6420K,AMD,,A6-6420K,2,,,4.2,,
AMD A4-4020,AMD,,A4-4020,2,,,3.4,,
AMD A10-6800B,AMD,,A10-6800B,4,,,4.4,,
AMD FX-4200,AMD,,FX-4200,4,,,,,
AMD Pro A4-7300B,AMD,,Pro A4-7300B,2,,,4.0,,
AMD Athlon X2 450,AMD,,Athlon X2 450,2,,,3.9,,
AMD Phenom II X4 B99,AMD,,Phenom II X4 B99,4,,,,,
Intel Xeon E5-2609 V3,Intel,,Xeon E5-2609 V3,6,,,,,
Intel Pentium G4500T,Intel,,Pentium G4500T,2,,,,,
Intel Xeon E5-2658 V3,Intel,,Xeon E5-2658 V3,12,,,2.9,,
Intel Xeon E5-2683 V3,Intel,,Xeon E5-2683 V3,14,,,3.0,,
Intel Pentium G4600T,Intel,,Pentium G4600T,2,,,,,
AMD A8-7670K,AMD,,A8-7670K,4,,,3.9,,
Intel Xeon E5-2420V2,Intel,,Xeon E5-2420V2,6,,,2.7,,
AMD A6-9550,AMD,,A6-9550,2,,,4.0,,
Intel Core i7-870S,Intel,,Core i7-870S,4,,,,,
Intel Pentium Gold G5500T,Intel,,Pentium Gold G5500T,2,,,,,
Intel Xeon E5-2660,Intel,,Xeon E5-2660,8,,,3.0,,
Intel Xeon E-2146G,Intel,,Xeon E-2146G,6,,,4.5,,
Intel Xeon E-2134,Intel,,Xeon E-2134,4,,,4.5,,
Intel Core i3-10305,Intel,,Core i3-10305,4,,,4.5,,
Intel Core i5-4670T,Intel,,Core i5-4670T,4,,,,,
Intel Celeron G3950,Intel,,Celeron G3950,2,,,,,
AMD Athlon II X2 255,AMD,,Athlon II X2 255,2,,,,,
AMD Athlon II X3 435,AMD,,Athlon II X3 435,3,,,,,
AMD Phenom II X2 545,AMD,,Phenom II X2 545,2,,,,,
AMD Athlon II X3 400e,AMD,,Athlon II X3 400e,3,,,,,
AMD Athlon II X3 405e,AMD,,Athlon II X3 405e,3,,,,,
AMD Athlon II X3 415e,AMD,,Athlon II X3 415e,3,,,,,
AMD Athlon II X4 600e,AMD,,Athlon II X4 600e,4,,,,,
AMD Phenom II X3 740 Black,AMD,,Phenom II X3 740 Black,3,,,,,
AMD Phenom II X4 965 Black (140W),AMD,,Phenom II X4 965 Black (140W),4,,,,,
Intel Celeron E1500,Intel,,Celeron E1500,2,,,,,
Intel Celeron E1600,Intel,,Celeron E1600,2,,,,,
Intel Celeron E3200,Intel,,Celeron E3200,2,,,,,
Intel Core 2 Duo E4400,Intel,,Core 2 Duo E4400,2,,,,,
Intel Core 2 Duo E7300,Intel,,Core 2 Duo E7300,2,,,,,
Intel Core 2 Duo E8200,Intel,,Core 2 Duo E8200,2,,,,,
Intel Core i5-750S,Intel,,Core i5-750S,4,,,,,
Intel Core i7-860S,Intel,,Core i7-860S,4,,,,,
Intel Core 2 Quad Q8200S,Intel,,Core 2 Quad Q8200S,4,,,,,
Intel Core 2 Quad Q9450,Intel,,Core 2 Quad Q9450,4,,,,,
Intel Core 2 Quad Q9505,Intel,,Core 2 Quad Q9505,4,,,,,
AMD Phenom II X2 560 Black,AMD,,Phenom II X2 560 Black,2,,,,,
AMD Athlon II X3 460,AMD,,Athlon II X3 460,3,,,,,
AMD Athlon II X3 440,AMD,,Athlon II X3 440,3,,,,,
Intel Core i3-2105,Intel,,Core i3-2105,2,,,,,
Intel Pentium G630T,Intel,,Pentium G630T,2,,,,,
Intel Core i5-2380P,Intel,,Core i5-2380P,4,,,,,
Intel Core i5-2450P,Intel,,Core i5-2450P,4,,,,,
Intel Pentium G550,Intel,,Pentium G550,2,,,,,
Intel Celeron G555,Intel,,Celeron G555,2,,,,,
AMD Athlon II X4 651K,AMD,,Athlon II X4 651K,4,,,,,
Intel Pentium G2130,Intel,,Pentium G2130,2,,,,,
Intel Pentium G3430,Intel,,Pentium G3430,2,,,,,
AMD A10-6790K,AMD,,A10-6790K,4,,,4.3,,
Intel Celeron G1630,Intel,,Celeron G1630,2,,,,,
Intel Pentium G2140,Intel,,Pentium G2140,2,,,,,
Intel Xeon E5-2609 V2,Intel,,Xeon E5-2609 V2,4,,,,,
Intel Celeron G1850,Intel,,Celeron G1850,2,,,,,
AMD Sempron X2 190,AMD,,Sempron X2 190,2,,,,,
AMD FX-4320,AMD,,FX-4320,4,,,4.2,,
AMD Athlon X4 530,AMD,,Athlon X4 530,4,,,,,
AMD Athlon X4 550,AMD,,Athlon X4 550,4,,,,,
AMD Pro A8-7600B,AMD,,Pro A8-7600B,4,,,3.8,,
AMD Pro A6-7400B,AMD,,Pro A6-7400B,2,,,3.9,,
AMD Athlon X2 350,AMD,,Athlon X2 350,2,,,3.9,,
AMD Sempron X2 250,AMD,,Sempron X2 250,2,,,3.6,,
Intel Pentium G3460,Intel,,Pentium G3460,2,,,,,
AMD Phenom II X6 1065T,AMD,,Phenom II X6 1065T,6,,,,,
Intel Xeon E5-2603 V2,Intel,,Xeon E5-2603 V2,4,,,,,
Intel Xeon E3-1280 V5,Intel,,Xeon E3-1280 V5,4,,,4.0,,
AMD A6-7470K,AMD,,A6-7470K,2,,,4.0,,
Intel Pentium G4560T,Intel,,Pentium G4560T,2,,,,,
Intel Core i3-7101TE,Intel,,Core i3-7101TE,2,,,,,
Intel Xeon E5-2430V2,Intel,,Xeon E5-2430V2,6,,,3.0,,
Intel Xeon E5-2440V2,Intel,,Xeon E5-2440V2,8,,,2.4,,
AMD Athlon X4 940,AMD,,Athlon X4 940,4,,,3.6,,
AMD Athlon II X3 425,AMD,,Athlon II X3 425,3,,,,,
Intel Celeron 450,Intel,,Celeron 450,1,,,,,
AMD Phenom II X3 710,AMD,,Phenom II X3 710,3,,,,,
AMD Phenom II X4 805,AMD,,Phenom II X4 805,4,,,,,
AMD Phenom II X4 810,AMD,,Phenom II X4 810,4,,,,,
AMD Phenom II X4 910,AMD,,Phenom II X4 910,4,,,,,
AMD Phenom II X4 920,AMD,,Phenom II X4 920,4,,,,,
AMD Athlon II X2 245e,AMD,,Athlon II X2 245e,2,,,,,
AMD Athlon II X2 260u,AMD,,Athlon II X2 260u,2,,,,,
AMD Athlon II X4 610e,AMD,,Athlon II X4 610e,4,,,,,
Intel Core 2 Duo E6540,Intel,,Core 2 Duo E6540,2,,,,,
Intel Core 2 Duo E8190,Intel,,Core 2 Duo E8190,2,,,,,
Intel Core 2 Quad Q8400S,Intel,,Core 2 Quad Q8400S,4,,,,,
Intel Core 2 Quad Q9505S,Intel,,Core 2 Quad Q9505S,4,,,,,
AMD Athlon II X2 265,AMD,,Athlon II X2 265,2,,,,,
AMD Phenom II X3 715 Black,AMD,,Phenom II X3 715 Black,3,,,,,
Intel Celeron E3500,Intel,,Celeron E3500,2,,,,,
AMD FX-4170,AMD,,FX-4170,4,,,,,
Intel Celeron G465,Intel,,Celeron G465,2,,,,,
Intel Pentium G2010,Intel,,Pentium G2010,2,,,,,
Intel Celeron G1830,Intel,,Celeron G1830,2,,,,,
Intel Xeon E5-2640,Intel,,Xeon E5-2640,6,,,3.0,,
Intel Pentium G3440,Intel,,Pentium G3440,2,,,,,
AMD Sempron X2 198,AMD,,Sempron X2 198,2,,,,,
AMD A10-6700T,AMD,,A10-6700T,4,,,3.5,,
AMD A10-6790B,AMD,,A10-6790B,4,,,,,
AMD A4-6320,AMD,,A4-6320,2,,,4.0,,
AMD A4-3450,AMD,,A4-3450,2,,,,,
AMD A4-3420,AMD,,A4-3420,2,,,,,
AMD FX-4150,AMD,,FX-4150,4,,,4.1,,
AMD FX-6130,AMD,,FX-6130,6,,,3.9,,
AMD FX-8140,AMD,,FX-8140,8,,,4.1,,
AMD Athlon II X2 221,AMD,,Athlon II X2 221,2,,,,,
AMD Athlon II X4 638,AMD,,Athlon II X4 638,4,,,,,
Intel Core i3-4360T,Intel,,Core i3-4360T,2,,,,,
